Index,IUPAC
1,Gal(a1-Sp8
2,Glc(a1-Sp8
3,Man(a1-Sp8
4,GalNAc(a1-Sp8
5,GalNAc(a1-Sp15
6,Fuc(a1-Sp8
7,Fuc(a1-Sp9
,Rha(a1-Sp8
8,Neu5Ac(a1-Sp8
9,Neu5Ac(a1-Sp11
10,Neu5Ac(b1-Sp8
11,Gal(b1-Sp8
12,Glc(b1-Sp8
13,Man(b1-Sp8
14,GalNAc(b1-Sp8
15,GlcNAc(b1-Sp0
16,GlcNAc(b1-Sp8
,GlcN[Gc](b1-Sp8
17,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8
18,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14
19,GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(b1-Sp8
20,6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
21,6S(3S)Gal(b1-4)GlcNAc(b1-Sp0
22,(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(1-Sp0
23,(3S)Gal(b1-4)Glc(b1-Sp8
24,(3S)Gal(b1-4)(6S)Glc(b1-Sp0
25,(3S)Gal(b1-4)(6S)Glc(b1-Sp8
26,(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
27,(3S)Gal(b1-3)GalNAc(a1-Sp8
28,(3S)Gal(b1-3)GlcNAc(b1-Sp0
29,(3S)Gal(b1-3)GlcNAc(b1-Sp8
30,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp0
31,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp8
32,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
33,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8
34,(3S)Gal(b1-4)GlcNAc(b1-Sp0
35,(3S)Gal(b1-4)GlcNAc(b1-Sp8
36,(3S)Gal(b1-Sp8
37,(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0
38,(4S)Gal(b1-4)GlcNAc(b1-Sp8
39,(6P)Man(a1-Sp8
40,(6S)Gal(b1-4)Glc(b1-Sp0
41,(6S)Gal(b1-4)Glc(b1-Sp8
42,(6S)Gal(b1-4)GlcNAc(b1-Sp8
43,(6S)Gal(b1-4)(6S)Glc(b1-Sp8
44,Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8
45,(6S)GlcNAc(b1-Sp8
,"Neu5,9Ac2(a1-Sp8"
,"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8"
46,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
47,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
48,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
49,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
50,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
51,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
52,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
53,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21
54,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24
55,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9
56,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9
57,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
58,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8
59,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14
60,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
61,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9
62,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8
63,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
64,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0
65,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8
66,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
67,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
68,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
69,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
70,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
71,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
72,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0
73,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8
74,Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0
75,Fuc(a1-2)Gal(b1-Sp8
76,Fuc(a1-3)GlcNAc(b1-Sp8
77,Fuc(a1-4)GlcNAc(b1-Sp8
78,Fuc(b1-3)GlcNAc(b1-Sp8
79,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
80,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
81,(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0
82,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0
83,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
84,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
85,GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8
86,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
87,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
88,GalNAc(a1-3)GalNAc(b1-Sp8
89,GalNAc(a1-3)Gal(b1-Sp8
90,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
91,GalNAc(b1-3)GalNAc(a1-Sp8
92,GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8
93,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
94,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
95,GalNAc(b1-4)GlcNAc(b1-Sp0
96,GalNAc(b1-4)GlcNAc(b1-Sp8
97,Gal(a1-2)Gal(b1-Sp8
98,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
99,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8
100,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
101,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
102,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0
103,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
104,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
105,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
106,Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8
107,Gal(a1-3)GalNAc(a1-Sp8
108,Gal(a1-3)GalNAc(a1-Sp16
109,Gal(a1-3)GalNAc(b1-Sp8
110,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
111,Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0
112,Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8
113,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0
114,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10
115,Gal(a1-3)Gal(b1-Sp8
116,Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
117,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
118,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8
119,Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
120,Gal(a1-4)GlcNAc(b1-Sp8
121,Gal(a1-6)Glc(b1-Sp8
122,Gal(b1-2)Gal(b1-Sp8
123,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
124,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
125,Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0
126,Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8
127,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8
128,Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8
129,Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14
130,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8
131,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
132,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8
133,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14
134,Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8
135,Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10
136,Gal(b1-3)GalNAc(a1-Sp8
137,Gal(b1-3)GalNAc(a1-Sp14
138,Gal(b1-3)GalNAc(a1-Sp16
139,Gal(b1-3)GalNAc(b1-Sp8
140,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
141,Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
142,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8
143,Gal(b1-3)Gal(b1-Sp8
144,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
145,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
146,Gal(b1-3)GlcNAc(b1-Sp0
147,Gal(b1-3)GlcNAc(b1-Sp8
148,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
149,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
150,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
151,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
152,Gal(b1-4)(6S)Glc(b1-Sp0
153,Gal(b1-4)(6S)Glc(b1-Sp8
154,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
155,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
156,Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8
157,Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14
158,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
159,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
160,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
161,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0
162,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8
163,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8
164,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(b1-Sp14
165,Gal(b1-4)GlcNAc(b1-Sp0
166,Gal(b1-4)GlcNAc(b1-Sp8
167,Gal(b1-4)GlcNAc(b1-Sp23
168,Gal(b1-4)Glc(b1-Sp0
169,Gal(b1-4)Glc(b1-Sp8
170,GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8
171,GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8
172,GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8
173,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8
174,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14
175,GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8
176,GlcNAc(b1-3)GalNAc(a1-Sp8
177,GlcNAc(b1-3)GalNAc(a1-Sp14
178,GlcNAc(b1-3)Gal(b1-Sp8
179,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
180,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
181,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
182,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0
183,GlcNAc(b1-MDPLys
184,GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8
185,GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8
186,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
187,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
188,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
189,GlcNAc(b1-6)GalNAc(a1-Sp8
190,GlcNAc(b1-6)GalNAc(a1-Sp14
191,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8
192,Glc(a1-4)Glc(b1-Sp8
193,Glc(a1-4)Glc(a1-Sp8
194,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8
195,Glc(b1-4)Glc(b1-Sp8
196,Glc(b1-6)Glc(b1-Sp8
,G-ol(a1-Sp8
197,GlcA(a1-Sp8
198,GlcA(b1-Sp8
199,GlcA(b1-3)Gal(b1-Sp8
200,GlcA(b1-6)Gal(b1-Sp8
201,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
202,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
203,Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9
204,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9
205,Man(a1-2)Man(a1-3)Man(a1-Sp9
206,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
207,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
208,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
209,Man(a1-6)[Man(a1-3)]Man(a1-Sp9
210,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9
211,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
212,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
213,Man(b1-4)GlcNAc(b1-Sp0
214,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
215,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
216,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0
217,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8
218,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0
219,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8
220,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14
221,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
222,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
223,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
224,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
225,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8
226,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
227,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0
228,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8
229,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
230,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
231,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8
232,Neu5Ac(a2-3)GalNAc(a1-Sp8
233,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0
234,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8
235,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
236,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
237,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8
238,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8
239,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8
240,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
241,Neu5Ac(a2-3)Gal(b1-Sp8
242,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
243,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
244,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0
245,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
246,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8
