IUPAC,DSL (0.1ug/ml),DSL (1ug/ml),DSL (10ug/ml),DSL (100ug/ml)
Gal(a1-Sp8,8.635174999999998,16.4836,20.721824999999995,15.821625000000004
Glc(a1-Sp8,4.556449999999998,12.998725000000006,18.5531,8.508299999999998
Man(a1-Sp8,14.215175000000002,32.308975000000004,27.706624999999995,29.66525
GalNAc(a1-Sp8,-1.5022000000000002,8.723650000000003,11.789025,2.2646999999999977
GalNAc(a1-Sp15,13.041999999999993,21.994624999999992,10.916375,12.2761
Fuc(a1-Sp8,-3.3850750000000023,10.276725,9.133499999999994,23.008725
Fuc(a1-Sp9,-5.26895,5.217100000000002,11.77155,-1.8817749999999958
Rha(a1-Sp8,5.767225,4.809775000000002,12.080575000000005,6.002675
Neu5Ac(a1-Sp8,18.13665,15.5925,11.590549999999995,31.45035000000001
Neu5Ac(a1-Sp11,24.107825,3.7315250000000013,14.856925,14.964725000000005
Neu5Ac(b1-Sp8,1.6831750000000003,7.375774999999999,1.0646499999999983,15.178425
Gal(b1-Sp8,9.326075,13.615875,32.8965,3.075174999999998
Glc(b1-Sp8,3.0274,11.610874999999998,13.849975,1.698325000000004
Man(b1-Sp8,9.2178,6.170925,10.626075,-4.919550000000003
GalNAc(b1-Sp8,18.03465,21.851275,13.503925,22.457825
GlcNAc(b1-Sp0,19.032775,31.925275,24.79375,16.606350000000006
GlcNAc(b1-Sp8,1.6008749999999985,14.921525,13.72545000000001,-3.927375000000005
GlcN[Gc](b1-Sp8,9.447074999999996,11.2638,5.783174999999997,-1.6364249999999974
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,-1.7569999999999997,5.151625000000002,15.387424999999995,168.108625
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,1.680625,7.71725,3.8825,0.7896000000000054
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,5.052424999999999,8.352300000000001,8.097550000000002,-12.357900000000004
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-4.350050000000001,10.39055,5.086075000000001,7.125475
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,11.497350000000004,0.8835999999999995,6.1174249999999954,-14.764
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,39.4094,30.424825,38.2813,1.7719499999999968
(3S)Gal(b1-4)Glc(b1-Sp8,5.1755749999999985,3.2380750000000003,11.3428,4.93385
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,-0.45230000000000103,12.025,6.139499999999999,5.815399999999999
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.9158,8.835275,3.698550000000001,19.269575
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-1.8295,8.617725000000002,0.8801000000000005,2.469225
(3S)Gal(b1-3)GalNAc(a1-Sp8,5.2230500000000015,4.427824999999999,5.4383750000000015,3.114600000000001
(3S)Gal(b1-3)GlcNAc(b1-Sp0,1.884625,1.4312750000000003,4.165824999999998,-2.9671499999999984
(3S)Gal(b1-3)GlcNAc(b1-Sp8,-1.80655,4.218400000000003,5.767924999999997,2.784575
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,1.5935750000000013,15.39375,9.651324999999998,4.535099999999996
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,7.8947249999999976,5.6521750000000015,1.0238500000000013,-1.0675750000000015
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.8786500000000004,12.023775000000002,175.76552500000003,951.556925
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.137049999999999,87.76184999999997,522.1547499999998,2456.3634
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-2.7823749999999983,156.1646,721.8822500000001,2374.8003
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.0969250000000006,54.349275,314.99235,1158.50205
(3S)Gal(b1-Sp8,-1.5302249999999995,1.7379249999999988,4.5005000000000015,9.35295
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,1.3232750000000006,-0.4265250000000007,12.537325,4.886324999999999
(4S)Gal(b1-4)GlcNAc(b1-Sp8,46.44684999999999,165.23122500000005,1279.346775,3671.2092250000014
(6P)Man(a1-Sp8,7.150475,2.6903249999999983,15.776525000000005,0.8288250000000019
(6S)Gal(b1-4)Glc(b1-Sp0,14.240425000000005,17.857449999999996,2.3043499999999995,-4.859675000000001
(6S)Gal(b1-4)Glc(b1-Sp8,8.534525000000002,22.462049999999994,3.7123500000000007,-5.649975
(6S)Gal(b1-4)GlcNAc(b1-Sp8,1.7400249999999993,1.2183749999999989,2.1092000000000013,-3.5605750000000014
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,-3.982850000000001,5.272425,4.464725000000001,-0.5027249999999999
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-1.1612000000000011,-0.26715,3.5518,0.962525000000003
(6S)GlcNAc(b1-Sp8,2.533300000000001,0.8361999999999998,0.6361250000000016,-10.9267
"Neu5,9Ac2(a1-Sp8",4.274250000000002,7.8310499999999985,9.379149999999996,4.308900000000001
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-0.2934499999999982,3.198875,1.5842999999999998,1.677649999999998
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.312524999999999,10.358925,56.90440000000001,484.01065
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,18.687575,9.56515,150.156,1067.3273
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.2357749999999985,11.9149,19.77735,253.011575
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,7.526924999999998,11.36105,41.01670000000001,310.9949000000001
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1.2221750000000018,7.2376999999999985,26.88045,255.19799999999998
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.4728750000000037,11.739624999999998,9.781550000000003,94.01925000000004
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,6.583174999999999,23.180425000000003,33.6635,111.653175
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,4.493475,9.13325,5.044350000000001,69.089575
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,33.732375000000005,163.361375,1041.3253249999998,3936.574225000001
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,20.06465,19.2269,7.045724999999999,30.4329
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,6.938925000000001,7.023675000000001,9.611299999999998,0.3586249999999964
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.804074999999999,8.900100000000002,10.754425,1.344424999999999
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,1.9970000000000017,1.3298249999999996,6.318375000000002,-3.8964500000000006
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,6.42215,8.738625000000004,4.6971500000000015,6.141425
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,11.122725,3.42375,18.20285,0.2964999999999982
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,10.999325,-5.902175,9.975,3.4019999999999992
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,7.390349999999996,4.5116,4.27325,8.265700000000002
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-6.2965750000000025,17.541175000000006,14.322675000000002,35.20092500000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,22.404175,-1.329699999999999,5.3207,3.664499999999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,11.886200000000002,11.441224999999998,-2.7956749999999992,-7.437750000000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-0.050675000000000026,0.07177500000000059,7.808649999999997,0.67455
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.273825000000002,14.257575,9.894675,1.7054999999999971
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.59185,15.575349999999998,5.990675,-9.7094
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.9072749999999985,3.550725,10.795175,13.551225000000002
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.2890249999999996,16.625174999999995,151.79309999999995,1004.8310749999997
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,26.74087500000001,125.10377499999998,1077.357175,4625.449200000001
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,1.450775,0.07430000000000002,0.1903249999999992,28.36745
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,-0.3077500000000004,6.746200000000003,97.235575,639.3218
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,11.144625,1.4348999999999998,14.022224999999995,2.630700000000001
Fuc(a1-2)Gal(b1-Sp8,21.264249999999983,8.86855,3.838875,8.898375
Fuc(a1-3)GlcNAc(b1-Sp8,2.4550500000000017,7.8549000000000015,9.957050000000002,-9.655
Fuc(a1-4)GlcNAc(b1-Sp8,5.208025000000001,1.6779000000000002,-4.74855,-5.736674999999997
Fuc(b1-3)GlcNAc(b1-Sp8,5.299050000000001,7.684424999999999,3.683724999999999,-3.9441749999999978
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,1.5851000000000006,13.9959,9.14595,-0.8694250000000032
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,26.466200000000004,31.10155,2.693125,16.661025000000002
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,-0.7742249999999995,9.065400000000004,1.8162249999999984,0.2280499999999979
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,18.297549999999994,97.87875,405.35962500000016,1202.877575
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,6.41875,44.6345,452.2603499999999,2775.0426
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1.836125000000001,4.904700000000002,4.64275,-1.2222000000000008
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,9.895875000000002,9.146125,7.6914500000000015,4.876799999999996
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-2.44285,-2.6609250000000007,1.8978250000000016,6.34975
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-1.7753999999999976,2.5739250000000027,6.6949000000000005,-5.232275
GalNAc(a1-3)GalNAc(b1-Sp8,-0.9517499999999988,-4.130775000000001,0.8340250000000005,3.221375000000001
GalNAc(a1-3)Gal(b1-Sp8,-7.51655,3.655025000000002,8.100174999999998,-11.1031
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-0.7970000000000006,12.768925000000005,131.2262,1272.448075
GalNAc(b1-3)GalNAc(a1-Sp8,4.485574999999999,-2.552949999999999,-0.09422500000000067,-10.118000000000002
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,-1.94375,3.8929750000000016,1.7847499999999992,3.73375
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,13.557225,43.05487500000001,404.10737500000016,1695.4660500000002
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.904524999999998,8.35805,7.660525000000002,8.3396
GalNAc(b1-4)GlcNAc(b1-Sp0,16.939724999999996,37.4639,221.15770000000006,2185.658725
GalNAc(b1-4)GlcNAc(b1-Sp8,10.773400000000004,43.81307499999999,313.717325,2934.150125
Gal(a1-2)Gal(b1-Sp8,2.463000000000001,8.0977,5.406875,8.133275000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,63.148175,75.77912500000002,252.169725,109.022775
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,91.245525,226.213075,29.00725,100.14895000000004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,23.831000000000003,22.727825,11.60665,5.451024999999998
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.048675000000001,3.908499999999999,6.983174999999999,6.265575
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,122.4695,435.811425,1714.160475,4666.740925
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,17.376374999999996,59.21317499999999,22.092475,57.08012500000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,5.341424999999999,6.837975,4.299074999999997,3.0291
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,38.627275,21.56855,16.725199999999994,37.72147500000001
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,118.66165,407.42315,1300.1521,8843.703949999997
Gal(a1-3)GalNAc(a1-Sp8,28.2266,33.83995,43.3395,24.352525
Gal(a1-3)GalNAc(a1-Sp16,16.6145,2.0314000000000005,2.7967250000000012,4.086875
Gal(a1-3)GalNAc(b1-Sp8,3.768524999999999,6.2604500000000005,1.5858249999999998,-6.606900000000001
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-0.3412000000000006,4.1323500000000015,4.656475000000002,0.7568250000000011
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,5.937325,20.519475,11.873375,11.508200000000004
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,44.442475,332.38039999999995,1575.26895,6304.288825
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,3.3957749999999987,20.604975000000003,19.132225,-3.5683750000000014
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,6.018225000000001,4.743025000000001,2.70045,-4.999900000000004
Gal(a1-3)Gal(b1-Sp8,4.659224999999998,-0.5916249999999987,8.959425,14.270075
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,17.025525000000002,14.5102,52.91005000000001,662.7528
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,12.25285,44.83805,272.41485,1584.2781249999994
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,10.223449999999994,68.148625,590.4713499999998,4299.490375
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,12.914224999999998,10.274175000000003,3.7152000000000096,22.01127500000001
Gal(a1-4)GlcNAc(b1-Sp8,2.8310250000000003,4.415724999999999,2.207475,16.170325
Gal(a1-6)Glc(b1-Sp8,-3.705375,14.515075,1.232525,-4.4906000000000015
Gal(b1-2)Gal(b1-Sp8,7.881850000000003,10.445050000000002,11.7258,26.2091
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.6554999999999982,2.7028,6.183075,-5.412450000000002
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.7913499999999978,10.535,14.163225000000011,14.340175
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,2.958500000000001,14.421024999999998,12.332850000000002,10.261175
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,0.4097749999999998,15.087849999999998,2.006174999999999,-5.91625
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,8.251450000000002,5.849974999999999,7.6653249999999975,-11.609025
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,-7.782775000000003,13.953175000000005,12.802075,139.26635
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,13.016575,12.6957,10.734425000000002,1.3090499999999992
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.0290250000000025,16.892924999999998,17.9826,0.34754999999999825
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,-3.2242499999999987,6.3646499999999975,2.569875000000001,-6.305625
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-0.5901749999999986,5.424200000000001,0.3895749999999989,-7.5062000000000015
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,6.1565499999999975,10.49415,12.996175,8.865299999999998
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-2.323525,5.5495750000000035,4.431850000000002,-5.282850000000002
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,-4.3734,-1.86485,2.339574999999999,-11.709249999999995
Gal(b1-3)GalNAc(a1-Sp8,-5.753400000000001,3.2132500000000004,-1.4738750000000005,-4.895999999999999
Gal(b1-3)GalNAc(a1-Sp14,2.785375,2.17125,5.1735000000000015,-10.486525
Gal(b1-3)GalNAc(a1-Sp16,-2.1436749999999978,1.1193499999999998,2.7311499999999995,-3.5139750000000003
Gal(b1-3)GalNAc(b1-Sp8,15.530549999999998,6.1807250000000025,7.7982,8.145625
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,8.967850000000004,2.149250000000002,10.108449999999998,5.1028000000000056
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.025974999999999,1.6562749999999982,9.720899999999997,2.1380000000000017
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,12.79005,8.808649999999995,4.189500000000002,1.320074999999992
Gal(b1-3)Gal(b1-Sp8,1.2260500000000008,7.791099999999991,8.836325000000002,32.20715
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.656675,22.664475000000003,44.14655000000001,459.069825
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,7.9102999999999986,-1.6821000000000008,0.19907500000000145,4.488875000000002
Gal(b1-3)GlcNAc(b1-Sp0,0.5139000000000014,10.694249999999998,2.115025,6.663125
Gal(b1-3)GlcNAc(b1-Sp8,11.364724999999998,6.3817999999999975,1.3179749999999988,12.2576
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-0.08170000000000144,8.183050000000003,16.853724999999994,9.303549999999994
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-1.877699999999999,3.4353750000000005,1.4358999999999966,13.421625
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.810949999999998,8.030399999999998,10.211475,-1.7943250000000042
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.177225,13.641275000000006,10.680725,-1.342175000000001
Gal(b1-4)(6S)Glc(b1-Sp0,9.8803,12.667000000000007,7.842525000000002,-5.482449999999997
Gal(b1-4)(6S)Glc(b1-Sp8,2.75875,0.9634999999999998,7.262675,2.795024999999999
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.171075,109.6721,971.788625,3731.372375
