IUPAC,LEL (0.1ug/ml),LEL (1ug/ml),LEL (10ug/ml),LEL (100 ug/ml)
Gal(a1-Sp8,8.434975,6.2665000000000015,31.1505,33.749325000000006
Glc(a1-Sp8,2.8512249999999995,21.532125000000004,25.28215,17.376325
Man(a1-Sp8,21.833424999999995,18.18255,43.1785,36.61535000000001
GalNAc(a1-Sp8,13.079500000000005,0.4852749999999979,8.586075000000001,13.71745
GalNAc(a1-Sp15,34.00235,19.183950000000006,17.307625,44.41945000000001
Fuc(a1-Sp8,5.065225,13.242375,14.875350000000005,15.230124999999996
Fuc(a1-Sp9,0.22452499999999986,4.005799999999999,6.6079500000000015,24.69015
Rha(a1-Sp8,14.664275,1.2223500000000005,13.376325000000005,18.619025
Neu5Ac(a1-Sp8,15.66875,10.31615,25.465225,24.2254
Neu5Ac(a1-Sp11,9.246174999999994,4.9205000000000005,-0.3423999999999996,9.141775
Neu5Ac(b1-Sp8,0.8417750000000002,4.384475,25.443,19.11695
Gal(b1-Sp8,15.120875,20.122825,10.766074999999995,25.305374999999994
Glc(b1-Sp8,11.553975,9.105200000000002,8.085274999999998,28.25447500000001
Man(b1-Sp8,11.488899999999996,36.68525,10.622274999999998,19.204800000000006
GalNAc(b1-Sp8,8.592850000000002,14.19945,17.2136,11.052675
GlcNAc(b1-Sp0,34.547175,11.783975,15.7479,38.140375
GlcNAc(b1-Sp8,2.329350000000004,3.539925000000004,16.072650000000007,15.062825000000005
GlcN[Gc](b1-Sp8,12.3148,14.105025,11.042224999999995,8.683099999999998
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,6.257250000000001,5.043849999999999,113.49525,2750.4118749999993
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,13.079775,5.214724999999998,17.9462,64.661325
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,18.52095,4.005700000000001,3.6373750000000014,14.280825000000005
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,2.2593,0.3463249999999993,20.495200000000004,312.568225
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,12.319375,12.366925000000005,-0.8228499999999981,11.725299999999995
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,27.817125000000004,48.846825,29.636775,31.50509999999999
(3S)Gal(b1-4)Glc(b1-Sp8,9.030024999999998,9.436975,18.307224999999995,8.813475
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.333299999999999,6.14465,8.459575000000003,6.637675
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,7.235125,7.968449999999999,21.413,33.75552500000001
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.541550000000001,7.181149999999999,3.601675000000001,4.226325000000001
(3S)Gal(b1-3)GalNAc(a1-Sp8,18.379225,3.2818500000000013,0.248475,17.550850000000004
(3S)Gal(b1-3)GlcNAc(b1-Sp0,15.391025,7.555125000000004,2.434975,0.13997499999999266
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.017000000000002,8.729249999999997,-0.14282499999999845,10.84245
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,29.654299999999992,8.39015,25.506899999999995,15.498675
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,28.624375,7.411875,10.3195,5.7879999999999985
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,15.491400000000002,3225.19705,23388.85865,27716.624775
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,58.809325,7468.974049999999,27391.49605,28575.054474999994
(3S)Gal(b1-4)GlcNAc(b1-Sp0,9.877525,2847.605525,22863.37925,30775.74465
(3S)Gal(b1-4)GlcNAc(b1-Sp8,39.84577499999999,1624.11575,19550.86295,21454.824075000004
(3S)Gal(b1-Sp8,12.828425000000005,9.3081,17.462075,5.60995
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.53505,12.457125,9.268099999999997,-0.12320000000000066
(4S)Gal(b1-4)GlcNAc(b1-Sp8,36.74945,2487.44455,20966.1242,24476.031800000004
(6P)Man(a1-Sp8,10.51025,14.212525,10.376175,29.17722499999999
(6S)Gal(b1-4)Glc(b1-Sp0,4.204050000000001,11.116899999999996,15.371625000000007,31.186575000000005
(6S)Gal(b1-4)Glc(b1-Sp8,7.470999999999997,16.313250000000004,6.503949999999996,11.040824999999998
(6S)Gal(b1-4)GlcNAc(b1-Sp8,4.666450000000001,-1.0119749999999996,13.846075,84.41067500000003
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,11.857024999999995,3.9089750000000016,4.659699999999999,13.270274999999998
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.530075,4.008600000000001,-0.4994999999999976,10.304775
(6S)GlcNAc(b1-Sp8,0.05252499999999838,5.170675000000001,10.986849999999995,5.253125
"Neu5,9Ac2(a1-Sp8",13.748850000000004,2.2044750000000004,9.506750000000006,20.93945
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",0.6017000000000019,7.427575000000001,4.501725000000001,3.0991750000000025
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,18.904425,330.47617500000007,6766.022474999999,14781.147425
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,17.164,2223.881725,17865.69435,26065.61277500001
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.539725000000004,2.5698250000000007,12.552949999999996,15.436699999999998
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,3.8638749999999984,-1.3742500000000015,13.319500000000005,96.47335
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,13.850224999999995,8.814850000000009,14.801575000000005,43.7633
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,21.80755000000001,10.6744,10.453449999999998,12.820275000000004
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,13.539875000000006,8.246525,2.938349999999998,21.741525
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,2.831174999999998,8.674875,25.005175,329.6649000000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,16.10105,17.1425,31.428825,86.67115000000004
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,3.9277500000000014,13.991850000000005,43.860125,104.9908
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,2.9633250000000046,8.127700000000003,20.915325000000006,18.586575
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1.9779000000000029,4.90265,-1.2698500000000008,14.866724999999995
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,3.3965250000000022,3.946950000000002,6.16295,7.996825000000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,-1.0001500000000003,12.415275,14.986600000000005,46.820675
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,9.364050000000002,11.555700000000005,6.772724999999999,27.9281
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,3.8034250000000043,4.232424999999999,5.157424999999998,29.1764
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-0.8026250000000008,1.1759749999999989,-2.180175000000001,-0.8935750000000011
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1.2879999999999994,5.234625000000005,-4.84595,-3.529850000000004
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,-0.4180500000000018,2.3967249999999978,12.703950000000004,9.982874999999996
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,4.6773500000000015,5.578700000000001,0.7959000000000014,8.740700000000002
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.3462249999999987,10.506099999999998,7.302324999999994,11.960924999999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.427349999999995,3.894775000000001,5.9532500000000015,28.991725
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.909175,11.499950000000002,13.239875,16.750925000000002
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.773925000000002,19.578425,5.677275,3.2607500000000016
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,20.365125,2545.0420750000008,25490.212975,31298.057975
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,26.15785,4004.018425,33759.477474999985,34153.957200000004
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,11.677874999999995,5.429125000000001,136.17890000000006,1743.5811999999994
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,6.509599999999999,956.360725,11533.1405,24556.27475
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,1.1358750000000004,0.03472499999999812,1.9446749999999984,23.02765
Fuc(a1-2)Gal(b1-Sp8,3.1790000000000003,1.106275000000002,15.762725,14.055649999999995
Fuc(a1-3)GlcNAc(b1-Sp8,4.65285,-1.3085999999999989,-3.61345,16.955149999999996
Fuc(a1-4)GlcNAc(b1-Sp8,1.3817750000000009,1.0186499999999992,-1.0295250000000014,6.007474999999998
Fuc(b1-3)GlcNAc(b1-Sp8,3.945525,2.4539500000000007,7.2332500000000035,20.88705
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,9.790799999999997,1.4872749999999968,18.86035,10.030199999999994
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.1575,25.78215,17.507174999999997,20.93395
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,1.591875,3.593100000000001,19.471375,21.248400000000004
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,12.632875,506.48615,8001.141974999999,24946.161375000003
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,13.0158,853.060375,14938.226250000005,26320.8467
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,3.173950000000003,7.650874999999999,14.237925000000002,28.27322500000001
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,0.24722500000000205,9.442574999999994,12.472425000000005,52.46122499999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,8.067225,21.97502500000001,1.5452250000000003,12.141150000000005
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,0.4532499999999988,3.8455250000000087,8.064925000000002,9.093424999999996
GalNAc(a1-3)GalNAc(b1-Sp8,11.363550000000002,5.6841250000000025,8.210725000000002,14.840849999999998
GalNAc(a1-3)Gal(b1-Sp8,17.966825,18.5051,20.570799999999988,10.326575000000004
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,22.372800000000005,2402.250875,23395.48755,29772.512325
GalNAc(b1-3)GalNAc(a1-Sp8,10.210599999999998,3.3851,3.6788000000000007,8.639475
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,1.4965499999999974,0.21597500000000025,10.2453,10.001675000000002
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,27.74397500000001,1240.1557750000004,13320.02695,28490.087050000016
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.0683500000000015,6.0972500000000025,17.686175,10.347524999999994
GalNAc(b1-4)GlcNAc(b1-Sp0,12.255899999999995,2833.768475,19702.16935,27898.86165000001
GalNAc(b1-4)GlcNAc(b1-Sp8,10.7127,3564.843225,27396.299124999994,28086.536
Gal(a1-2)Gal(b1-Sp8,5.208549999999999,5.989,10.610474999999996,8.228625000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,8.898300000000003,5.227474999999998,11.527074999999998,19.251400000000004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,15.48375,21.549275,33.5474,40.475575000000006
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,16.24015,11.969275,13.204775000000005,24.524474999999995
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,7.6435749999999985,2.9994250000000005,8.679875,9.7926
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,3.86225,1340.09615,14057.9821,22559.9897
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,12.6103,5.948175000000001,8.899849999999997,3.963125
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,19.894549999999995,9.091275,13.444499999999994,12.698200000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,10.543375,6.661099999999998,17.790525000000006,17.0111
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,82.85480000000003,5614.174724999999,32457.986525000015,33918.3959
Gal(a1-3)GalNAc(a1-Sp8,44.694425,31.687200000000004,38.1338,42.401300000000006
Gal(a1-3)GalNAc(a1-Sp16,19.141675,6.491325,5.41475,16.855400000000003
Gal(a1-3)GalNAc(b1-Sp8,18.036775,13.866825,7.188775,61.43305000000001
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.470250000000005,4.93315,10.575724999999998,8.710150000000004
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,7.258775000000003,21.259175,12.588549999999998,34.622424999999986
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,38.11915,4433.155325,33788.081849999995,39403.20372499999
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,7.681849999999999,4.932474999999998,2.1670000000000025,27.615275
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,3.415,11.6785,6.20295,52.9975
Gal(a1-3)Gal(b1-Sp8,4.6363,12.7025,2.661975,29.024049999999995
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1.5288749999999975,197.32005,6293.76075,22424.749325
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,25.002075,1122.3553000000004,8460.041075000001,20669.32695
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,30.6643,4488.892524999998,25668.597125,35209.5245
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,15.058225000000006,10.968975,12.935875,21.418724999999995
Gal(a1-4)GlcNAc(b1-Sp8,8.44965,6.600625,5.74995,29.383700000000005
Gal(a1-6)Glc(b1-Sp8,21.718650000000004,11.133975,18.548550000000006,19.62450000000001
Gal(b1-2)Gal(b1-Sp8,6.3958999999999975,18.938275,13.7716,18.656200000000005
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,21.38845,12.923575000000005,13.776824999999995,8.407575000000001
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.317574999999996,11.115625,-1.1991249999999989,14.8829
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,17.180149999999998,9.842775,9.019674999999998,23.89167500000001
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,6.804125000000003,1.0358499999999982,44.52527499999999,7.187725
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,7.093724999999999,9.002300000000002,3.9955,0.2460249999999995
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,9.095825,21.484600000000004,3851.1827,22747.599
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,6.820125000000001,23.35667500000001,30.031099999999995,40.356599999999965
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.256299999999998,22.9202,36.77895,22.040675
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,1.0295999999999983,9.645825,0.17237499999999972,26.166375
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.7951249999999987,1.5512000000000017,5.148774999999999,50.73757499999999
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,8.523650000000002,5.507599999999997,9.596475,35.41100000000001
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,2.566675000000001,3.74905,7.240099999999997,32.556775
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,7.602475000000004,6.607024999999991,14.387700000000004,12.863525000000005
Gal(b1-3)GalNAc(a1-Sp8,3.5410000000000013,5.578800000000001,-0.09135000000000026,22.313675
Gal(b1-3)GalNAc(a1-Sp14,4.73125,7.722974999999996,12.677275,2.753200000000001
Gal(b1-3)GalNAc(a1-Sp16,11.569599999999998,15.445199999999994,10.342275,13.638000000000005
Gal(b1-3)GalNAc(b1-Sp8,6.980025000000001,18.444325,6.927249999999997,13.69015
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,17.178975,10.091449999999998,12.454349999999998,-0.9925500000000014
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1.80175,0.6361249999999998,7.17455,17.418374999999994
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,11.530675000000002,6.5612,18.683975,84.4046
Gal(b1-3)Gal(b1-Sp8,7.78335,4.896575,4.164050000000001,2.9243500000000004
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-2.676875,1342.9622,11961.048475000005,19838.77125
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,2.162699999999999,2.0630499999999987,3.2368999999999986,20.567375
Gal(b1-3)GlcNAc(b1-Sp0,5.612424999999997,14.521124999999998,3.641175,5.209000000000001
Gal(b1-3)GlcNAc(b1-Sp8,6.187775,7.0385500000000025,0.8527750000000003,6.689025000000001
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.3248750000000005,-2.4799500000000005,5.3658,12.601175
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.02135,5.509550000000001,6.57615,13.224724999999996
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.242925,16.1726,20.01765,16.524575000000006
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.1671000000000005,14.393675,7.0905000000000005,22.759275
Gal(b1-4)(6S)Glc(b1-Sp0,16.584150000000008,3.82185,1.1328749999999983,56.56385
Gal(b1-4)(6S)Glc(b1-Sp8,6.443224999999997,12.39625,13.498699999999996,26.11325
